reagent,replacement_PT,replacement,abbr_PT,abbr
phosphate_edta_7.2,"Tampão Fosfato + EDTA (pH 7,2)",Phosphate Buffer + EDTA (pH 7.2),"KPi + EDTA (7,2)",KPi + EDTA (7.2)
hydrogen_peroxide,Peróxido de Hidrogênio,Hydrogen Peroxide,H~2~O~2~,H~2~O~2~
water,Água Deionizada,Water,Água,Water
sample,Amostra,Sample,Amostra,Sample
assay_type,Ensaio,Assay,Ensaio,Assay
